"SUID","639_1","639_2","639_2_B","639_3","Common_Twitter_Wiki_Code","Documentation","Element_Scope","Family_Code","Family_Name","Final_Name","Lang_Name","Language_Type","LogNumSpeaker","name","Num_Speakers_M","Partner_Agency","Primary_Family_Code","Primary_Family_Name","Reference_Name","selected","shared name","Status","Twitter_CLD_Only_Code","Viz_Family_Code","Viz_Family_Name","Wiki_Only_Code"
"926","","goh","","goh","","LL","I","","","Old High German (ca. 750-1050)","","H",,"goh",,"JAC","","Indo-European","Old High German (ca. 750-1050)","false","goh","A","","","",""
"927","","gmh","","gmh","","LL","I","gem","Germanic","Middle High German (ca. 1050-1500)","Middle High German","H","0.0","gmh","1.0E-6","JAC","ine","Indo-European","Middle High German (ca. 1050-1500)","false","gmh","A","","gem","Germanic",""
"928","ga","gle","","gle","ga","SIL","I","cel","Celtic","Irish","Irish","L","5.724275869600789","gle","0.53","JAC","ine","Indo-European","Irish","false","gle","A","","cel","Celtic",""
"929","","","","gld","","SIL","I","","","Nanai","","L",,"gld",,"SIL","","Altaic","Nanai","false","gld","A","","","",""
"930","","gez","","gez","","SIL","I","","","Geez","","A",,"gez",,"JAC","","Afro-Asiatic","Geez","false","gez","A","","","",""
"931","","","","gag","","SIL","I","trk","Turkic","Gagauz","Gagauz","L","5.204119982655925","gag","0.16","SIL","tut","Altaic","Gagauz","false","gag","A","","trk","Turkic",""
"932","","","","fuv","","SIL","I","nic","Niger-Kordofanian","Fulah","Fulah","L","7.113943352306837","ful","13.0","SIL","nic","Niger-Kordofanian","Nigerian Fulfulde","false","ful","A","","nic","Niger-Kordofanian",""
"933","","fro","","fro","","LL","I","itc","Italic","Old French (842-ca. 1400)","Old French","H","0.0","fro","1.0E-6","JAC","ine","Indo-European","Old French (842-ca. 1400)","false","fro","A","","itc","Italic",""
"934","","frm","","frm","","LL","I","","","Middle French (ca. 1400-1600)","","H",,"frm",,"JAC","","Indo-European","Middle French (ca. 1400-1600)","false","frm","A","","","",""
"935","","","","fri","","","I","","","Western Frisian","","L",,"fri",,"SIL","","Indo-European","Western Frisian","false","fri","R","","","",""
