SourceLanguageCode	TargetLanguageCode	SourceLanguageName	TargetLanguageName	SourcePopulation	TargetPopulations	Coocurrences	PhiCorrelation	Tstatistic
aar	zha	Afar	Zhuang	5	177	0	 -0.00001161	 -0.00005567
aar	zho	Afar	Chinese	5	19201	0	 -0.00012135	 -0.02722750
aar	zul	Afar	Zulu	5	18	0	 -0.00000370	 -0.00001434
aar	zza	Afar	Zaza	5	142	0	 -0.00001040	 -0.00007278
abk	aar	Abkhazian	Afar	9	5	0	 -0.00000262	 -0.00000944
abk	afr	Abkhazian	Afrikaans	9	776	0	 -0.00003261	 -0.00073579
abk	aka	Abkhazian	Akan	9	183	0	 -0.00001584	 -0.00008528
abk	amh	Abkhazian	Amharic	9	81	0	 -0.00001054	 -0.00008559
abk	ang	Abkhazian	Old English (ca. 450-1100)	9	135	0	 -0.00001360	 -0.00012466
abk	ara	Abkhazian	Arabic	9	6361	0	 -0.00009348	 -0.01262997
abk	arc	Abkhazian	Official Aramaic (700-300 BCE)	9	157	0	 -0.00001467	 -0.00006393
abk	arg	Abkhazian	Aragonese	9	377	0	 -0.00002273	 -0.00026798
abk	asm	Abkhazian	Assamese	9	146	0	 -0.00001414	 -0.00012002
abk	ast	Abkhazian	Asturian	9	341	0	 -0.00002162	 -0.00031771
abk	ava	Abkhazian	Avaric	9	105	0	 -0.00001200	 -0.00004325
abk	aym	Abkhazian	Aymara	9	118	0	 -0.00001272	 -0.00005687
abk	aze	Abkhazian	Azerbaijani	9	1111	0	 -0.00003903	 -0.00146072
abk	bak	Abkhazian	Bashkir	9	190	0	 -0.00001614	 -0.00011179
abk	bam	Abkhazian	Bambara	9	12	0	 -0.00000405	 -0.00001462
abk	bar	Abkhazian	Bavarian	9	515	0	 -0.00002657	 -0.00049703
abk	bel	Abkhazian	Belarusian	9	507	0	 -0.00002636	 -0.00057268
abk	ben	Abkhazian	Bengali	9	843	0	 -0.00003399	 -0.00107923
abk	bik	Abkhazian	Bikol	9	58	0	 -0.00000891	 -0.00004367
abk	bis	Abkhazian	Bislama	9	52	0	 -0.00000844	 -0.00003581
abk	bod	Abkhazian	Tibetan	9	155	0	 -0.00001457	 -0.00013749
abk	bpy	Abkhazian	Bishnupriya	9	116	0	 -0.00001261	 -0.00005043
abk	bre	Abkhazian	Breton	9	359	0	 -0.00002218	 -0.00038482
abk	bua	Abkhazian	Buriat	9	117	0	 -0.00001266	 -0.00004565
abk	bug	Abkhazian	Buginese	9	143	0	 -0.00001400	 -0.00005939
abk	bul	Abkhazian	Bulgarian	9	4122	0	 -0.00007521	 -0.00618727
abk	cat	Abkhazian	Catalan	9	8075	0	 -0.00010535	 -0.01101750
abk	ceb	Abkhazian	Cebuano	9	139	0	 -0.00001380	 -0.00012799
abk	ces	Abkhazian	Czech	9	8493	0	 -0.00010806	 -0.01333429
abk	cha	Abkhazian	Chamorro	9	62	0	 -0.00000922	 -0.00003323
abk	che	Abkhazian	Chechen	9	121	0	 -0.00001288	 -0.00008541
abk	chm	Abkhazian	Mari (Russia)	9	118	0	 -0.00001272	 -0.00006607
abk	cho	Abkhazian	Choctaw	9	4	0	 -0.00000234	 -0.00000844
abk	chr	Abkhazian	Cherokee	9	68	0	 -0.00000965	 -0.00005016
abk	chu	Abkhazian	Church Slavic	9	178	1	  0.02496968	  0.16187251
abk	chv	Abkhazian	Chuvash	9	238	0	 -0.00001806	 -0.00016748
abk	chy	Abkhazian	Cheyenne	9	61	0	 -0.00000914	 -0.00003296
abk	cor	Abkhazian	Cornish	9	65	0	 -0.00000944	 -0.00006331
abk	cos	Abkhazian	Corsican	9	66	0	 -0.00000951	 -0.00006791
abk	cre	Abkhazian	Cree	9	23	0	 -0.00000561	 -0.00002174
abk	crh	Abkhazian	Crimean Tatar	9	139	0	 -0.00001380	 -0.00007807
abk	csb	Abkhazian	Kashubian	9	89	0	 -0.00001104	 -0.00009564
abk	cym	Abkhazian	Welsh	9	496	0	 -0.00002607	 -0.00055919
abk	dan	Abkhazian	Danish	9	8164	0	 -0.00010594	 -0.01173352
abk	deu	Abkhazian	German	9	103768	0	 -0.00038495	 -0.18227803
abk	div	Abkhazian	Dhivehi	9	168	0	 -0.00001517	 -0.00010836
abk	dsb	Abkhazian	Lower Sorbian	9	174	0	 -0.00001544	 -0.00007721
abk	dzo	Abkhazian	Dzongkha	9	108	0	 -0.00001217	 -0.00004386
abk	ell	Abkhazian	Modern Greek (1453-)	9	3789	0	 -0.00007211	 -0.00560309
abk	eml	Abkhazian	Emiliano-Romagnolo	9	110	0	 -0.00001228	 -0.00010272
abk	eng	Abkhazian	English	9	273987	3	  0.00137321	  1.73114050
abk	epo	Abkhazian	Esperanto	9	2310	0	 -0.00005629	 -0.00237737
abk	est	Abkhazian	Estonian	9	1956	0	 -0.00005179	 -0.00283808
abk	eus	Abkhazian	Basque	9	1093	0	 -0.00003871	 -0.00136744
abk	ewe	Abkhazian	Ewe	9	128	0	 -0.00001324	 -0.00005923
abk	ext	Abkhazian	Extremaduran	9	139	0	 -0.00001380	 -0.00007807
abk	fao	Abkhazian	Faroese	9	288	0	 -0.00001987	 -0.00022651
abk	fas	Abkhazian	Persian	9	4738	0	 -0.00008065	 -0.00954246
abk	fij	Abkhazian	Fijian	9	104	0	 -0.00001194	 -0.00004304
abk	fil	Abkhazian	Filipino (macrolanguage)	9	713	0	 -0.00003126	 -0.00088915
abk	fin	Abkhazian	Finnish	9	11484	0	 -0.00012572	 -0.01813613
abk	fra	Abkhazian	French	9	69366	0	 -0.00031256	 -0.11810879
abk	frp	Abkhazian	Arpitan	9	150	0	 -0.00001434	 -0.00007310
abk	fry	Abkhazian	Western Frisian	9	357	0	 -0.00002212	 -0.00029427
abk	ful	Abkhazian	Fulah	9	101	0	 -0.00001176	 -0.00004242
abk	fur	Abkhazian	Friulian	9	98	0	 -0.00001159	 -0.00009271
abk	gla	Abkhazian	Scottish Gaelic	9	270	0	 -0.00001924	 -0.00020628
abk	gle	Abkhazian	Irish	9	523	0	 -0.00002677	 -0.00055452
abk	glg	Abkhazian	Galician	9	1541	0	 -0.00004597	 -0.00180029
abk	glk	Abkhazian	Gilaki	9	184	0	 -0.00001588	 -0.00014726
abk	glv	Abkhazian	Manx	9	119	0	 -0.00001277	 -0.00005990
abk	got	Abkhazian	Gothic	9	134	0	 -0.00001355	 -0.00006499
abk	grn	Abkhazian	Guarani	9	155	0	 -0.00001457	 -0.00010202
abk	guj	Abkhazian	Gujarati	9	319	0	 -0.00002091	 -0.00035911
abk	hat	Abkhazian	Haitian	9	190	0	 -0.00001614	 -0.00012807
abk	hau	Abkhazian	Hausa	9	157	0	 -0.00001467	 -0.00005488
abk	haw	Abkhazian	Hawaiian	9	120	0	 -0.00001282	 -0.00005129
abk	hbs	Abkhazian	Serbo-Croatian	9	7389	0	 -0.00010077	 -0.01051987
abk	heb	Abkhazian	Hebrew	9	6538	0	 -0.00009477	 -0.01306187
abk	hif	Abkhazian	Fiji Hindi	9	68	0	 -0.00000965	 -0.00010078
abk	hin	Abkhazian	Hindi	9	1178	0	 -0.00004019	 -0.00151910
abk	hsb	Abkhazian	Upper Sorbian	9	234	0	 -0.00001791	 -0.00012788
abk	hun	Abkhazian	Hungarian	9	9488	0	 -0.00011423	 -0.01533910
abk	hye	Abkhazian	Armenian	9	575	0	 -0.00002807	 -0.00070796
abk	ibo	Abkhazian	Igbo	9	55	0	 -0.00000868	 -0.00003130
abk	ido	Abkhazian	Ido	9	235	0	 -0.00001795	 -0.00015437
abk	iii	Abkhazian	Sichuan Yi	9	2	0	 -0.00000166	 -0.00000597
abk	iku	Abkhazian	Inuktitut	9	18	0	 -0.00000497	 -0.00001791
abk	ile	Abkhazian	Interlingue	9	26	0	 -0.00000597	 -0.00002735
abk	ilo	Abkhazian	Iloko	9	84	0	 -0.00001073	 -0.00006437
abk	ina	Abkhazian	Interlingua (International Auxiliary Language Association)	9	200	0	 -0.00001655	 -0.00019448
abk	ipk	Abkhazian	Inupiaq	9	56	0	 -0.00000876	 -0.00003158
abk	isl	Abkhazian	Icelandic	9	956	0	 -0.00003620	 -0.00124929
abk	ita	Abkhazian	Italian	9	33146	0	 -0.00021451	 -0.05794799
abk	jav	Abkhazian	Javanese	9	339	0	 -0.00002155	 -0.00032688
abk	jbo	Abkhazian	Lojban	9	169	0	 -0.00001522	 -0.00011183
abk	jpn	Abkhazian	Japanese	9	28951	0	 -0.00020031	 -0.06424045
abk	kaa	Abkhazian	Kara-Kalpak	9	104	0	 -0.00001194	 -0.00004304
abk	kab	Abkhazian	Kabyle	9	168	0	 -0.00001517	 -0.00010512
abk	kal	Abkhazian	Kalaallisut	9	55	0	 -0.00000868	 -0.00004755
abk	kan	Abkhazian	Kannada	9	354	0	 -0.00002203	 -0.00050850
abk	kas	Abkhazian	Kashmiri	9	10	0	 -0.00000370	 -0.00001335
abk	kat	Abkhazian	Georgian	9	700	0	 -0.00003097	 -0.00105541
abk	kau	Abkhazian	Kanuri	9	9	0	 -0.00000351	 -0.00001266
abk	kaz	Abkhazian	Kazakh	9	349	0	 -0.00002187	 -0.00052850
abk	khm	Abkhazian	Central Khmer	9	96	0	 -0.00001147	 -0.00019430
abk	kik	Abkhazian	Kikuyu	9	3	0	 -0.00000203	 -0.00000731
abk	kin	Abkhazian	Kinyarwanda	9	19	0	 -0.00000510	 -0.00001840
