	bweight.new	bcommon.num.new
deu (pp) mkd	0.0699820558831069	273
dan (pp) slk	0.00280026475230385	55
nld (pp) heb	0.00520025545114497	57
rus (pp) cat	0.00883137080648745	159
cat (pp) ita	0.00155440414507772	93
deu (pp) heb	0.0471672292674026	517
tgk (pp) uzb	0.0221254987305042	61
spa (pp) nld	0.0132709592263695	1478
heb (pp) est	0.00213540402814851	44
bel (pp) ukr	0.0163934426229508	74
eng (pp) rar	0.423076923076923	33
rus (pp) pus	0.919298245614035	262
rus (pp) bua	0.893617021276596	42
heb (pp) dan	0.00125001929042115	81
jpn (pp) tha	0.0268948655256724	33
fra (pp) ita	0.183553401303694	10982
rus (pp) mol	0.586827956989247	2183
pol (pp) bul	0.0120037293139616	309
eng (pp) swe	0.682010936279433	48892
nld (pp) ita	0.00421193381246866	252
zho (pp) nld	0.00232556051395785	259
zho (pp) jpn	0.0139808851504664	1830
fra (pp) eus	0.136120316084629	534
grc (pp) mkd	0.0148679825685722	58
nld (pp) slk	0.00162924494679497	32
eng (pp) mal	0.376871880199667	453
pol (pp) slk	0.0246423298202739	484
nld (pp) isl	0.00997850782929076	65
lat (pp) fin	0.00371723109507035	172
rus (pp) alt	0.92	46
swe (pp) epo	0.0848708487084871	46
hin (pp) urd	0.0318407960199005	32
rus (pp) tuk	0.781376518218624	579
eng (pp) isl	0.562480810561867	3664
ita (pp) spa	0.0545935083657333	12497
slk (pp) pol	0.00436652763295099	335
xal (pp) rus	0.00164306770405451	136
fra (pp) glg	0.13580767608604	322
eng (pp) eus	0.236043843996941	926
ces (pp) spa	0.00193962692761347	444
ces (pp) nld	0.00281042641262088	313
hbs (pp) pol	0.0037148070907195	285
zho (pp) bul	0.00260275036904669	67
fra (pp) mon	0.0210482872472142	51
dan (pp) eng	0.0290715955541581	4253
heb (pp) por	0.00104388324567391	78
hun (pp) swe	0.00111594688092847	80
kan (pp) hin	0.0182544209925841	64
deu (pp) kor	0.0747604978064285	1670
ben (pp) tam	0.0317640385706183	56
swe (pp) nld	0.0108645877293012	1210
eng (pp) ben	0.366347177848775	688
hun (pp) slv	0.00283134782840964	53
rus (pp) asm	0.188212927756654	99
yid (pp) ukr	0.00686752326096588	31
fra (pp) kat	0.0390625	85
ita (pp) heb	0.0130462549037497	143
rus (pp) lav	0.205279312461633	1672
rus (pp) slv	0.0118596078850366	222
jpn (pp) tur	0.00261074616809837	31
nor (pp) isl	0.0704636168252993	459
deu (pp) bel	0.0314834578441836	59
ukr (pp) bel	0.0224119530416222	42
