source	target	exposure
tel	lit	7
sux	fin	1
grc	moa	2
heb	mkw	1
fra	hun	3947
afr	dan	8
che	tur	2
ron	yid	4
jpn	pol	89
heb	jpn	101
dan	bre	2
eng	nhr	7
grc	tel	1
ara	mkd	19
epo	spa	2
san	bul	24
glg	bre	3
dar	hin	1
ara	ava	1
bzj	eng	1
ewe	fra	6
fra	bmy	1
grc	chm	5
slv	ita	171
kab	deu	1
kas	urd	2
arc	ron	1
spa	pol	1488
ces	abk	1
deu	pol	10116
som	dan	2
nld	iku	1
deu	tab	1
aze	alt	1
mol	kir	3
fur	deu	3
dak	eng	6
srd	glg	1
txg	rus	2
slk	tuk	2
por	ast	3
coq	eng	1
bul	tuk	12
lat	swe	280
myv	mdf	1
bak	vie	2
otk	deu	1
deu	krc	1
fra	isl	349
tel	tyv	1
mar	guj	27
fra	mar	9
fra	pri	2
kpy	rus	2
deu	tsn	1
hye	swe	3
yid	deu	305
est	abk	1
jpn	san	1
rom	fra	8
smj	swe	1
sux	fas	4
eng	pol	45183
ell	mkd	34
fra	nnw	8
fin	vie	4
och	zho	3
grc	olo	2
pli	por	1
osp	fra	1
dan	iku	179
ara	zho	146
ful	fra	17
xal	kir	2
ful	por	1
grc	ori	2
frm	eng	72
grc	neb	2
ell	lit	19
hbs	eus	1
pol	ara	23
evn	rus	18
mon	fra	5
swe	mol	8
deu	nyo	1
way	nld	1
heb	nor	44
fra	mnh	2
eng	hag	2
akk	deu	20
mol	swa	1
fra	moz	8
grc	gmh	3
deu	prt	1
krc	ukr	2
eng	hni	1
hin	mya	2
swe	nor	6137
grc	tam	7
deu	ori	17
lit	mar	1
hye	tgk	11
kan	eng	97
kca	est	1
heb	tur	6
rus	mlt	2
hye	slk	16
lbe	est	1
swe	ukr	25
tat	tuk	2
ita	sin	7
grc	dgi	1
swa	lit	1
heb	jvn	1
yid	isl	12
ben	kat	1
ita	lad	1
heb	lad	7
nor	pol	459
slk	ces	1106
asm	ben	9
gle	nld	5
gmh	lat	1
zho	swe	139
nya	eng	1
rus	tkr	1
heb	lin	1
hun	kir	3
glg	mkd	1
heb	ceb	1
sga	ita	1
cat	sqi	1
ron	por	14
lao	ara	1
tel	msa	1
fra	sme	2
doi	ori	1
deu	yor	2
nor	ben	5
fra	kor	1616
