Final_Code	Final_Name	Status	Partner_Agency	639_3	639_2	639_2_B	639_1	Common_Twitter_Wiki_Code	Twitter_CLD_Only_Code	Wiki_Only_Code	Reference_Name	Element_Scope	Language_Type	Documentation
ahh	Aghu	A	SIL	ahh							Aghu	I	L	SIL
ahi	Tiagbamrin Aizi	A	SIL	ahi							Tiagbamrin Aizi	I	L	SIL
ahk	Akha	A	SIL	ahk							Akha	I	L	SIL
ahl	Igo	A	SIL	ahl							Igo	I	L	SIL
ahm	Mobumrin Aizi	A	SIL	ahm							Mobumrin Aizi	I	L	SIL
ahn	Àhàn	A	SIL	ahn							Àhàn	I	L	SIL
aho	Ahom	A	SIL	aho							Ahom	I	E	SIL
ahp	Aproumu Aizi	A	SIL	ahp							Aproumu Aizi	I	L	SIL
ahr	Ahirani	A	SIL	ahr							Ahirani	I	L	SIL
ahs	Ashe	A	SIL	ahs							Ashe	I	L	SIL
aht	Ahtena	A	SIL	aht							Ahtena	I	L	SIL
aia	Arosi	A	SIL	aia							Arosi	I	L	SIL
aib	Ainu (China)	A	SIL	aib							Ainu (China)	I	L	SIL
aic	Ainbai	A	SIL	aic							Ainbai	I	L	SIL
aid	Alngith	A	SIL	aid							Alngith	I	E	SIL
aie	Amara	A	SIL	aie							Amara	I	L	SIL
aif	Agi	A	SIL	aif							Agi	I	L	SIL
aig	Antigua and Barbuda Creole English	A	SIL	aig							Antigua and Barbuda Creole English	I	L	SIL
aih	Ai-Cham	A	SIL	aih							Ai-Cham	I	L	SIL
aij	Lishanid Noshan	A	SIL	aij							Lishanid Noshan	I	L	SIL
aik	Ake	A	SIL	aik							Ake	I	L	SIL
ail	Aimele	A	SIL	ail							Aimele	I	L	SIL
aim	Aimol	A	SIL	aim							Aimol	I	L	SIL
ain	Ainu (Japan)	A	JAC	ain	ain						Ainu (Japan)	I	L	SIL
aio	Aiton	A	SIL	aio							Aiton	I	L	SIL
aip	Burumakok	A	SIL	aip							Burumakok	I	L	SIL
aiq	Aimaq	A	SIL	aiq							Aimaq	I	L	SIL
air	Airoran	A	SIL	air							Airoran	I	L	SIL
ais	Nataoran Amis	A	SIL	ais							Nataoran Amis	I	L	SIL
ait	Arikem	A	SIL	ait							Arikem	I	E	SIL
aiw	Aari	A	SIL	aiw							Aari	I	L	SIL
aix	Aighon	A	SIL	aix							Aighon	I	L	SIL
aiy	Ali	A	SIL	aiy							Ali	I	L	SIL
aiz	Aari	R	SIL	aiz							Aari	I	L	
aja	Aja (Sudan)	A	SIL	aja							Aja (Sudan)	I	L	SIL
ajg	Aja (Benin)	A	SIL	ajg							Aja (Benin)	I	L	SIL
aji	Ajië	A	SIL	aji							Ajië	I	L	SIL
ajn	Andajin	A	SIL	ajn							Andajin	I	L	
ajw	Ajawa	A	SIL	ajw							Ajawa	I	E	SIL
ajz	Amri Karbi	A	SIL	ajz							Amri Karbi	I	L	SIL
aka	Akan	A	JAC	aka	aka		ak			ak	Akan	M	L	SIL
aka	Akan	A	JAC	fat	fat						Fanti	I	L	
